Country Birth   Death  Infant  LifeEM  LifeEF  logGNP
Albania 24.7  5.7  30.8 69.6 75.50  6.396930
Bulgaria 12.5 11.9  14.4 68.3 74.70  7.718685
Czechoslovakia 13.4 11.7  11.3 71.8 77.70  7.999679
Former_E._Germany 12.0 12.4   7.6 69.8 75.90  8.388683
Hungary 11.6 13.4  14.8 65.4 73.80  7.930206
Poland 14.3 10.2  16.0 67.2 75.70  7.432484
Romania 13.6 10.7  26.9 66.5 72.40  7.402452
Yugoslavia 14.0  9.0  20.2 68.6 74.50  8.293011
USSR 17.7 10.0  23.0 64.6 74.00  7.715124
Byelorussian_SSR 15.2  9.5  13.1 66.4 75.90  7.539027
Ukrainian_SSR 13.4 11.6  13.0 66.4 74.80  7.185387
Argentina 20.7  8.4  25.7 65.5 72.70  7.770645
Bolivia 46.6 18.0 111.0 51.0 55.40  6.445720
Brazil 28.6  7.9  63.0 62.3 67.60  7.893572
Chile 23.4  5.8  17.1 68.1 75.10  7.570443
Columbia 27.4  6.1  40.0 63.4 69.20  7.138867
Ecuador 32.9  7.4  63.0 63.4 67.60  6.887553
Guyana 28.3  7.3  56.0 60.4 66.10  5.799093
Paraguay 34.8  6.6  42.0 64.4 68.50  7.012115
Peru 32.9  8.3 109.9 56.8 66.50  7.056175
Uruguay 18.0  9.6  21.9 68.4 74.90  7.847763
Venezuela 27.5  4.4  23.3 66.7 72.80  7.847763
Mexico 29.0 23.2  43.0 62.1 66.00  7.820038
Belgium 12.0 10.6   7.9 70.0 76.80  9.651173
Finland 13.2 10.1   5.8 70.7 78.70 10.167389
Denmark 12.4 11.9   7.5 71.8 77.70 10.002428
France 13.6  9.4   7.4 72.3 80.50  9.877657
Germany 11.4 11.2   7.4 71.8 78.40 10.013238
Greece 10.1  9.2  11.0 65.4 74.00  8.697847
Ireland 15.1  9.1   7.5 71.0 76.70  9.164296
Italy  9.7  9.1   8.8 72.0 78.60  9.730918
Netherlands 13.2  8.6   7.1 73.3 79.90  9.759617
Norway 14.3 10.7   7.8 67.2 75.70 10.048453
Portugal 11.9  9.5  13.1 66.5 72.40  8.935904
Spain 10.7  8.2   8.1 72.5 78.60  9.307467
Sweden 14.5 11.1   5.6 74.2 80.00 10.071541
Switzerland 12.5  9.5   7.1 73.9 80.00 10.435996
U.K. 13.6 11.5   8.4 72.2 77.90  9.686575
Austria 14.9  7.4   8.0 73.3 79.60  9.740969
Japan  9.9  6.7   4.5 75.9 81.80 10.143685
Canada 14.5  7.3   7.2 73.0 79.80  9.926716
U.S.A. 16.7  8.1   9.1 71.5 78.30  9.989206
Afghanistan 40.4 18.7 181.6 41.0 42.00  5.123964
Bahrain 28.4  3.8  16.0 66.8 69.40  8.754634
Iran 42.5 11.5 108.1 55.8 55.00  7.820038
Iraq 42.6  7.8  69.0 63.0 64.80  8.013012
Israel 22.3  6.3   9.7 73.9 77.40  9.298351
Jordan 38.9  6.4  44.0 64.2 67.80  7.122867
Kuwait 26.8  2.2  15.6 71.2 75.40  9.689675
Lebanon 31.7  8.7  48.0 63.1 67.00  9.061530
Oman 45.6  7.8  40.0 62.2 65.80  8.560253
Saudi_Arabia 42.1  7.6  71.0 61.7 65.20  8.860783
Turkey 29.2  8.4  76.0 62.5 65.80  7.396335
United_Arab_Emirates 22.8  3.8  26.0 68.6 72.90  9.896463
Bangladesh 42.2 15.5 119.0 56.9 56.00  5.347108
Cambodia 41.4 16.6 130.0 47.0 49.90  5.590242
China 21.2  6.7  32.0 68.0 70.90  5.940171
Hong_Kong 11.7  4.9   6.1 74.3 80.10  9.561701
India 30.5 10.2  91.0 52.5 52.10  5.857933
Indonesia 28.6  9.4  75.0 58.5 62.00  6.345636
Korea 23.5 18.1  25.0 66.2 72.70  9.033428
Malaysia 31.6  5.6  24.0 67.5 71.60  7.749322
Mongolia 36.1  8.8  68.0 60.0 62.50  4.700480
Nepal 39.6 14.8 128.0 50.9 48.10  5.135798
Pakistan 30.3  8.1 107.7 59.0 59.20  5.940171
Philippines 33.2  7.7  45.0 62.5 66.10  6.593045
Singapore 17.8  5.2   7.5 68.7 74.00  9.320091
Sri_Lanka 21.3  6.2  19.4 67.8 71.70  6.152733
Thailand 22.3  7.7  28.0 63.8 68.90  7.258412
Vietnam 31.8  9.5  64.0 63.7 67.90  9.407676
Algeria 35.5  8.3  74.0 61.6 63.30  7.630461
Angola 47.2 20.2 137.0 42.9 46.10  6.413459
Botswana 48.5 11.6  67.0 52.3 59.70  7.620705
Congo 46.1 14.6  73.0 50.1 55.30  6.917706
Egypt 38.8  9.5  49.4 57.8 60.30  6.396930
Ethiopia 48.6 20.7 137.0 42.4 45.60  4.787492
Gabon 39.4 16.8 103.0 49.9 53.20  5.966147
Gambia 47.4 21.4 143.0 41.4 44.60  5.560682
Ghana 44.4 13.1  90.0 52.2 55.80  5.966147
Kenya 47.0 11.3  72.0 56.5 60.50  5.913503
Libya 44.0  9.4  82.0 59.1 62.56  8.577347
Malawi 48.3 25.0 130.0 38.1 41.20  5.298317
Morocco 35.5  9.8  82.0 59.1 62.50  6.866933
Mozambique 45.0 18.5 141.0 44.9 48.10  4.382027
Namibia 44.0 12.1 135.0 55.0 57.50  6.937314
Nigeria 48.5 15.6 105.0 48.8 52.20  5.886104
Sierra_Leone 48.2 23.4 154.0 39.4 42.60  5.480639
Somalia 50.1 20.2 132.0 43.4 46.60  4.787492
South_Africa 32.1  9.9  72.0 57.5 63.50  7.835975
Sudan 44.6 15.8 108.0 48.6 51.00  6.173786
Swaziland 46.8 12.5 118.0 42.9 49.50  6.697034
Tunisia 31.1  7.3  52.0 64.9 66.40  7.272398
Uganda 52.2 15.6 103.0 49.9 52.70  5.393628
Tanzania 50.5 14.0 106.0 51.3 54.70  4.700480
Zaire 45.6 14.2  83.0 50.3 53.70  5.393628
Zambia 51.1 13.7  80.0 50.4 52.50  6.040255
Zimbabwe 41.7 10.3  66.0 56.5 60.10  6.461468
